,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2013-01-01,103.0,69.0,0.013135351227869789,53.0,47.0,-0.1578649851513922,7.0,28.0,0.0,1.6310679611650485,3.6496848946631997,0.41997368329829105,0.0,0.021161647074512912,0.0721952231369271,0.1938794209272494,0.0,0.05935404161947388,0.06564652494840285,7.0,4.0,5.48936170212766,0.768317875968842,0.5750402576489534,0.0,0.04687018193031144,0.10171958182136885,0.6151874448206339,-1.8736738348237306e-17,0.03861840432978597,0.09064963712612885
2013-01-02,128.0,123.0,0.01513287401574803,49.0,77.0,-0.12108284001056685,9.0,39.0,0.0,2.53125,5.310569502181475,0.20610977481537207,0.0,0.013568162264066885,0.036202798661055906,0.22185519492990208,0.0,0.09041260023146958,0.07613250908879765,9.0,5.0,6.454545454545454,0.9472510404576865,0.41744996329206857,0.0,0.033187514240145814,0.07195991289689473,0.5360328566922891,-1.0497166567714115e-17,0.032441660417038116,0.08221945432429958
2013-01-03,108.0,76.0,0.013153340256143994,57.0,45.0,-0.217468952364315,4.0,30.0,0.0,2.0555555555555554,4.881623389158595,0.30285343213869,0.0,0.018234930444762973,0.05296676300815754,0.18847352024922118,0.0,0.05563871823474688,0.06510339064733534,4.0,2.0,3.577777777777778,0.5370242654930921,0.42170542635658914,0.0,0.038172421893352126,0.09363033891027665,0.5216744996321357,-6.264255999281949e-17,0.03690018788436297,0.08886864122601387
2013-01-04,141.0,98.0,0.009929078014184398,71.0,58.0,-0.14292195731392965,6.0,37.0,0.0,1.7588652482269505,4.315403236699571,0.30285343213869,0.0,0.015518000501712844,0.049601355786542185,0.1758116883116883,0.0,0.0503012091939189,0.05885611804600281,6.0,3.0,4.655172413793103,0.6578891044254797,0.49036131996658294,0.0,0.03531457955232909,0.08613669861574706,0.6084036182170658,-5.2873427943389665e-17,0.028439345808513913,0.0792679140102983
2013-01-05,125.0,101.0,0.013032258064516128,61.0,61.0,-0.21865583164550714,9.0,41.0,0.0,2.16,5.240457995251941,0.5428835233189814,0.0,0.032719650417261735,0.0825076622006772,0.19226660969878231,0.0,0.060311332269516835,0.06316128720057676,9.0,5.0,7.360655737704918,0.8690071003736769,0.5851860819657431,0.0,0.03923312031119756,0.09192678777482542,0.5437962500959108,-1.0504511098377075e-17,0.03510236209551856,0.08226678658678181
2013-01-06,119.0,96.0,0.013673265916536106,54.0,63.0,-0.2905424595285428,6.0,31.0,0.0,1.9663865546218486,4.43237283628298,0.4308869380063768,0.0,0.024211900683490564,0.07256749850568171,0.2201099404489235,0.0,0.08320534387491958,0.08004565999597812,6.0,3.0,4.444444444444445,0.6849348892187752,0.4639394626174108,0.0,0.031150059177557855,0.0846455719634886,0.5260052925513968,-1.241350520991697e-17,0.03988328522187245,0.08253899020734737
2013-01-07,115.0,77.0,0.011746758199847445,61.0,46.0,-0.09145704909396743,6.0,25.0,0.0,1.7565217391304349,3.816648437177004,0.363424118566428,0.0,0.02618287515514536,0.06598019822020601,0.1660108214461387,0.0,0.04722844155034503,0.05652577275055043,6.0,3.0,4.608695652173913,0.7064381221422574,0.3907996632996632,0.0,0.04336846728151076,0.09519917548150085,0.5333696438996749,-1.9572175972219903e-17,0.03655410173807414,0.08578723576404342
2013-01-08,131.0,103.0,0.012096300645918967,61.0,67.0,-0.15077047069752,8.0,28.0,0.0,2.0610687022900764,4.222360913316494,0.30285343213869,0.0,0.013173318031680878,0.04184610307960898,0.18824546240276577,0.0,0.06435633862168978,0.0645810753514671,8.0,4.0,6.0,0.8809763918432063,0.43932426547811165,0.0,0.038527641512716135,0.07995713130011162,0.5448443678525676,-5.568486934223695e-18,0.03479194217371363,0.08014429827530158
2013-01-09,132.0,92.0,0.010640758732361786,67.0,63.0,-0.17753962738885332,8.0,23.0,0.0,1.6363636363636365,3.455940707072229,0.36056239257685213,0.0,0.026800912784057655,0.07669494336312507,0.20098295513960054,0.0,0.06209761194037633,0.06663779178944629,8.0,4.0,6.079365079365079,0.782782730535743,0.4026838224352769,0.0,0.03836888183794583,0.08348213626263525,0.5413397349256698,-9.403222123046995e-18,0.032842620282725055,0.08060471368798672
2013-01-10,132.0,93.0,0.010756419153365717,67.0,58.0,-0.10412080611031328,6.0,29.0,0.0,1.7727272727272727,4.006795192357431,0.19718608527786316,0.0,0.012858825877271992,0.037165236501083554,0.2032912026029283,0.0,0.058237127775997044,0.06585242042283192,6.0,3.0,4.810344827586207,0.7300660468875907,0.4529627640529896,0.0,0.03670814968455621,0.08774920169991114,0.5092146260074293,-5.005215769142704e-18,0.031272892404354435,0.08122661987564943
