,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2013-01-01,298.0,286.0,0.006462838677603778,53.0,222.0,0.009980340328664808,26.0,7.0,0.0,1.9328859060402686,1.3593545128775477,0.5,0.0,0.003635346756152126,0.04108454828524894,0.14514369942437022,0.0,0.07446176779732676,0.04580855575163683,26.0,13.0,20.815315315315317,2.3107932493230097,0.190805615952675,0.0,0.03148669031021972,0.03903751819729197,0.33184478472632145,-5.4773428222195644e-17,0.028441581781028572,0.050465643003727204
2013-01-02,398.0,447.0,0.005658012986848601,49.0,340.0,0.00026985587243227757,24.0,8.0,0.0,2.251256281407035,1.5810390100833274,0.5,0.0,0.00577889447236181,0.050163943291780776,0.17417181205612492,0.0,0.10555625749679219,0.04788505014915258,24.0,12.0,17.83529411764706,2.119084479472649,0.18594786072662176,0.0,0.01832887210495027,0.02508468843962303,0.26205541888613837,-5.470006011556011e-17,0.027524228987057836,0.04189247704228478
2013-01-03,337.0,349.0,0.006164335170269888,57.0,254.0,0.019879293417457224,16.0,8.0,0.0,2.077151335311573,1.48183267843907,0.5,0.0,0.0052917903066271015,0.04799840215214251,0.17116170367518074,0.0,0.08665043616305054,0.05078259115678977,16.0,9.0,11.992125984251969,1.3803803138626767,0.2727605593547623,0.0,0.02278149025838173,0.03256248590202606,0.3809189828792204,-2.811344808375419e-17,0.026329103293726147,0.04768791639601591
2013-01-04,375.0,380.0,0.0054188948306595364,71.0,287.0,-0.04349603101111857,18.0,10.0,0.0,2.042666666666667,1.5190499955198606,0.5,0.0,0.010063492063492064,0.06342286705524817,0.14688104926322443,0.0,0.08382621831789099,0.047721724512174823,18.0,10.0,12.825783972125436,1.4377794515298112,0.13694728008125148,0.0,0.021553713723161734,0.02577012171345839,0.33108641004550216,-6.052916782475834e-17,0.028354501839825703,0.04315887964349848
2013-01-05,401.0,429.0,0.005349127182044887,61.0,320.0,0.04916047060036328,18.0,17.0,0.0,2.1396508728179553,1.6728576586011839,1.0,0.0,0.01430039692838578,0.1115699804303435,0.1884462962962963,0.0,0.10011760016640739,0.05318899607109913,18.0,10.0,12.896875,1.446544238651207,0.327001974244241,0.0,0.01755418120699513,0.030781333175824495,0.5895820137884699,-3.3884388312775686e-17,0.01949160533775056,0.04597654736267488
2013-01-06,399.0,416.0,0.005239228725079029,54.0,325.0,0.049723559517323455,18.0,8.0,0.0,2.110275689223058,1.4116840311113177,0.5,0.0,0.008369054682728267,0.057943499084620376,0.1408967916505605,0.0,0.0862473054816649,0.04254386509779772,18.0,10.0,14.033846153846154,1.4911303841331942,0.16139912538548018,0.0,0.021094146460503525,0.025887913748654724,0.5946471737510826,-1.790602340003563e-17,0.014487154584025759,0.04792064290281321
2013-01-07,356.0,365.0,0.005776230416205096,61.0,252.0,0.03349562377524598,16.0,10.0,0.0,2.0786516853932584,1.4951210473044199,0.5,0.0,0.012425316568574998,0.07095336517403626,0.15472328302859878,0.0,0.0747594822296419,0.04823442614757589,16.0,9.0,12.337301587301587,1.4369408713566671,0.24954270934908374,0.0,0.023842155188768734,0.035424058079129614,0.4762672510806663,-2.824910349811447e-17,0.021273850087013622,0.04854288893875409
2013-01-08,365.0,383.0,0.005765467409303025,61.0,282.0,0.03673365790627393,17.0,15.0,0.0,2.1534246575342464,1.7637197764392634,0.6299605249474366,0.0,0.012531062358872015,0.07318868130895206,0.15730661651618869,0.0,0.0873634591413931,0.04931452044948588,17.0,9.0,12.71631205673759,1.552057619089962,0.20721499169643554,0.0,0.020950560128647506,0.0303710953380045,0.6356181395733074,-2.1935185878690675e-17,0.015265133332042161,0.05006697246441246
2013-01-09,361.0,357.0,0.005493998153277932,67.0,273.0,-0.004789367379639555,19.0,12.0,0.0,2.011080332409972,1.5946201787016014,0.6299605249474366,0.0,0.013189640011390502,0.07947958063505513,0.15735919686915092,0.0,0.08123815695558465,0.04796838146046549,19.0,10.0,13.582417582417582,1.79783712585969,0.26183629509614437,0.0,0.022855409549570608,0.03430341987325907,0.5336691333331055,-1.8880740628830666e-17,0.019389082158585404,0.04893001732618434
2013-01-10,405.0,414.0,0.00506050605060506,67.0,303.0,0.031137314939982758,20.0,12.0,0.0,2.0641975308641975,1.5253664722163671,0.6299605249474366,0.0,0.011023247606328857,0.06960655952657173,0.14225108711249196,0.0,0.07497924050117052,0.04482561774525333,20.0,11.0,16.40924092409241,1.8855487644915774,0.26006008606837305,0.0,0.022373857372096146,0.033618635428032576,0.5875809815502855,-1.5346798502865892e-17,0.016516834685513498,0.04686501866467733
